SAMPLE_ID	TAP1	B2M	IRF1	STAT1	CXCL9	CXCL10	PSMB9	NLRC5	HLA-A	HLA-B
TCGA-BA-4074-01	-0.7591	3.4413	-0.8672	-0.9534	-0.6177	-0.3616	0.7314	-1.3583	0.0	0.0
TCGA-T3-A92N-01	0.2285	-0.3753	1.0344	0.3345	-0.0864	-0.3434	0.6784	0.5838	0.0	0.0
TCGA-T3-A92M-01	0.1263	-0.3523	-0.1033	0.3306	-0.2561	-0.1823	0.5018	0.6973	0.0	0.0
TCGA-QK-AA3K-01	-0.7047	0.0996	-1.0318	-0.7347	-0.5124	-0.3944	-0.3502	-1.0208	0.0	0.0
TCGA-QK-AA3J-01	-0.6085	0.0842	0.0362	-0.8254	-0.5906	-0.5147	-0.5181	-0.0728	0.0	0.0
TCGA-QK-A8ZB-01	-0.8344	-0.3855	-0.9366	-0.7315	-0.5454	-0.498	-0.7965	-0.9769	0.0	0.0
TCGA-QK-A8ZA-01	-0.6491	-1.3223	-0.8643	-0.6419	-0.6212	-0.516	-0.4548	-0.9423	0.0	0.0
TCGA-QK-A8Z9-01	-0.057	0.1953	-0.7969	0.3843	-0.1965	-0.4263	-0.0836	2.2658	0.0	0.0
TCGA-QK-A8Z8-01	-0.3143	-0.117	-0.7649	-0.4278	-0.6275	-0.5205	-0.3992	0.3723	0.0	0.0
TCGA-QK-A8Z7-01	-0.7157	-1.3643	-1.2913	-1.1647	-0.5571	-0.5288	-0.7515	-0.7694	0.0	0.0
TCGA-BA-A8YP-01	-1.159	-1.2357	-1.2583	-0.7669	-0.5935	-0.5184	-0.947	-1.2662	0.0	0.0
TCGA-4P-AA8J-01	-0.3503	0.1519	0.0292	-0.5868	-0.4932	-0.4253	0.5671	-0.5613	0.0	0.0
TCGA-WA-A7H4-01	-0.8515	-0.5319	-1.0132	-1.0444	-0.6039	-0.5131	-0.5543	-0.8804	0.0	0.0
TCGA-WA-A7GZ-01	-0.215	-0.3244	-1.2489	-0.7669	-0.6116	-0.466	-0.6561	-0.8948	0.0	0.0
TCGA-UP-A6WW-01	-0.4978	0.1552	0.2514	-0.8356	-0.4047	-0.4148	0.5443	-1.0141	0.0	0.0
TCGA-UF-A7JV-01	-0.2114	0.1411	-0.5704	-0.231	-0.5033	-0.0896	0.0632	-0.9167	0.0	0.0
TCGA-UF-A7JT-01	2.4886	2.6366	1.9609	1.5209	0.7279	4.2548	2.4155	2.2167	0.0	0.0
TCGA-UF-A7JS-01	0.117	-0.5099	0.2076	-0.8298	-0.607	-0.3939	3.6905	0.3234	0.0	0.0
TCGA-UF-A7JO-01	2.5954	0.6514	1.2548	2.1412	1.9713	0.9035	2.3813	1.7358	0.0	0.0
TCGA-UF-A7JK-01	-0.8593	0.3026	-1.2573	-1.0174	-0.6276	-0.5313	-0.8541	-0.633	0.0	0.0
TCGA-UF-A7JJ-01	0.7417	2.4267	-0.5216	1.5498	-0.3322	-0.4238	0.4096	2.9166	0.0	0.0
TCGA-UF-A7JH-01	-0.1667	0.8152	-0.4469	-0.275	-0.2056	-0.2663	0.2353	1.2624	0.0	0.0
TCGA-UF-A7JF-01	-0.9138	-0.798	-0.22	-1.2193	-0.6164	-0.519	-0.4769	-1.3641	0.0	0.0
TCGA-UF-A7JD-01	-1.0789	-1.2335	-1.0109	-1.029	-0.6093	-0.5182	-0.7925	-1.191	0.0	0.0
TCGA-UF-A7JC-01	-0.4736	-0.2579	-1.0473	-0.3707	-0.5804	-0.4934	-0.5512	0.4167	0.0	0.0
TCGA-UF-A7JA-01	-0.6149	-0.7703	-0.8195	-0.9869	-0.5912	-0.504	-0.4911	-0.5095	0.0	0.0
TCGA-UF-A7J9-01	-1.0457	-0.9927	-1.0383	-0.909	-0.57	-0.4874	-0.7608	-1.0036	0.0	0.0
TCGA-UF-A71E-01	-1.027	-0.8947	-1.107	-0.7591	-0.6383	-0.5366	-0.7351	-0.0172	0.0	0.0
TCGA-UF-A71D-01	-0.6525	-0.8163	-1.0753	-0.9709	-0.6252	-0.5282	-0.6737	0.0536	0.0	0.0
TCGA-UF-A71B-01	-0.9563	-0.7164	-0.9394	-0.9169	-0.6025	-0.5019	-0.743	-1.0517	0.0	0.0
TCGA-UF-A71A-01	-1.2258	-1.5046	-1.2299	-1.1828	-0.6199	-0.5322	-0.9278	-1.5173	0.0	0.0
TCGA-UF-A719-01	-0.023	-0.4699	-0.0602	0.0549	-0.6363	-0.5263	0.2683	0.2873	0.0	0.0
TCGA-UF-A718-01	-0.2648	-0.4309	-0.717	-0.1033	-0.5038	-0.4907	-0.3463	-0.4008	0.0	0.0
TCGA-TN-A7HL-01	1.6362	0.6601	2.3967	-0.1139	0.1621	0.1971	2.0816	1.1136	0.0	0.0
TCGA-TN-A7HJ-01	-0.8008	-0.4214	-0.9653	-0.9389	-0.6267	-0.4986	-0.7817	-1.4196	0.0	0.0
TCGA-TN-A7HI-01	-0.8062	-0.9269	-0.1482	-0.9068	-0.2901	-0.3666	0.3472	-0.3153	0.0	0.0
TCGA-T2-A6X2-01	1.0634	-0.7029	1.0088	1.664	0.7547	0.6823	0.3565	2.782	0.0	0.0
TCGA-T2-A6X0-01	-0.5044	-0.4378	-1.1415	-0.1376	0.3684	-0.2379	-0.3022	-0.0091	0.0	0.0
TCGA-T2-A6WZ-01	-0.4822	-0.5027	-0.9966	-0.6175	-0.6142	-0.5072	0.0297	0.2615	0.0	0.0
TCGA-T2-A6WX-01	2.1273	1.7548	3.0861	1.832	1.3824	3.0793	2.8409	1.2597	0.0	0.0
TCGA-RS-A6TP-01	2.3044	0.7569	1.6184	0.2206	-0.3487	0.0386	0.6345	1.9239	0.0	0.0
TCGA-RS-A6TO-01	0.7963	-0.1983	0.3587	0.1764	0.0072	-0.2438	0.7046	-0.1604	0.0	0.0
TCGA-QK-A6VC-01	0.4457	0.8912	3.5124	0.2401	-0.2096	0.084	0.6561	0.1538	0.0	0.0
